name	label	path	type
echo_1:in	echo_1 input	/_/echo_1/mod_in	nodein
echo_1:out	echo_1 output	/_/echo_1/mod_out	nodeout
echo_2:in	echo_2 input	/_/echo_2/mod_in	nodein
echo_2:out	echo_2 output	/_/echo_2/mod_out	nodeout
feedback_1:in	feedback_1 input	/_/feedback_1/mod_in	nodein
feedback_1:out	feedback_1 output	/_/feedback_1/mod_out	nodeout
warp_and_echo1:in	warp_and_echo1 input	/_/warp_and_echo1/mod_in	nodein
warp_and_echo1:out	warp_and_echo1 output	/_/warp_and_echo1/mod_out	nodeout
feedback_2:in	feedback_2 input	/_/feedback_2/mod_in	nodein
feedback_2:out	feedback_2 output	/_/feedback_2/mod_out	nodeout
feedback_4:in	feedback_4 input	/_/feedback_4/mod_in	nodein
feedback_4:out	feedback_4 output	/_/feedback_4/mod_out	nodeout
line_displacement:in	line_displacement input	/_/line_displacement/mod_in	nodein
line_displacement:out	line_displacement output	/_/line_displacement/mod_out	nodeout
time_distortion:in	time_distortion input	/_/time_distortion/mod_in	nodein
time_distortion:out	time_distortion output	/_/time_distortion/mod_out	nodeout
edging:in	edging input	/_/edging/mod_in	nodein
edging:out	edging output	/_/edging/mod_out	nodeout
feedback_5:in	feedback_5 input	/_/feedback_5/mod_in	nodein
feedback_5:out	feedback_5 output	/_/feedback_5/mod_out	nodeout
master:out	master output	/_/masterout	nodeout
