name	path	type	uilabel	fullheight	autoheight	fake
coloradj1	/_/layer1/color_adjust	filter	color adjust 1	125	1	
coloradj2	/_/layer2/color_adjust	filter	color adjust 2	125	1	
coloradj3	/_/layer3/color_adjust	filter	color adjust 3	125	1	
feedback1	/_/layer1/feedback_1	filter	feedback 1	130	1	
echo1	/_/layer1/echo_1	filter	echo 1	75	1	
linedisp	/_/layer1/line_displacement	filter	line displacement	125	1	
timedist	/_/layer1/time_distortion	filter	time distortion	240	1	
warp1	/_/layer1/warp1	filter	warp 1	75	1	
warpecho1	/_/layer2/warp_and_echo1	filter	warp+echo 1	250	1	
feedback2	/_/layer2/feedback_2	filter	feedback 2	140	1	
edge1	/_/layer2/edge1	filter	edge 1	75	1	
warp2	/_/layer2/warp2	filter	warp 2	75	1	
echo2	/_/layer3/echo_2	filter	echo 2	75	1	
feedback4	/_/layer3/feedback_4	filter	feedback 4	125	1	
edge	/_/master/edge	filter	edge	75	1	
feedback5	/_/master/feedback_5	filter	feedback 5	110	1	
mastercoloradj	/_/master/color_adjustment	filter	color adjustment	340	1	
template	/_/components/module	filter	template module	70	1	1
flowpointseltemplate	/_/components/flowpt_selector	filter	template module	150	1	1
layer1	/_/layer1	chain	layer 1	1000	0	
layer2	/_/layer2	chain	layer 2	1000	0	
layer3	/_/layer3	chain	layer 3	1000	0	
srcsel1	/_/layer1/src_selector	source	source sel 1	150	1	
srcsel2	/_/layer2/src_selector	source	source sel 2	150	1	
srcsel3	/_/layer3/src_selector	source	source sel 3	150	1	
mainoutsel	/_/mainout_selector	source	main out sel	150	1	
timedistsrcsel	/_/layer1/time_distortion/tima_source_selector	source	--	150	1	
gridgen	/_/generators/gridgen	source	grid gen	270	1	
